Integration Practice Problems,Answer,Hint
 (3x^2 - 2x + 5) dx,x^3 - x^2 + 5x + C,Apply the power rule for integration.
 (sin(x) + cos(x)) dx,-cos(x) + sin(x) + C,Remember the integral of sine and cosine functions.
 (e^x + 1/x) dx,e^x + ln,x
 (2x^3 + 3x^2 - 4x + 1) dx,(1/2)x^4 + x^3 - 2x^2 + x + C,Integrate each term separately.
 (sec^2(x) + tan(x)) dx,tan(x) + sec(x) + C,Consider the derivatives of secant and tangent.
 (sqrt(x) + 1/x^2) dx,(2/3)x^(3/2) - 1/x + C,Use the power rule for integration and the negative power rule.
 (3sin(x) - 2cos(x)) dx,-3cos(x) - 2sin(x) + C,Apply the integral rules for sine and cosine functions.
 (e^x + e^(-x)) dx,e^x - e^(-x) + C,Separate the terms and integrate them separately.
 (x^2 + 2x + 3) dx,(1/3)x^3 + x^2 + 3x + C,Use the power rule for integration.
 (3e^x - 4/x) dx,3e^x - 4ln,x
 (cos(2x) + 1/(1+x^2)) dx,(1/2)sin(2x) + arctan(x) + C,Use trigonometric and inverse trigonometric functions.
 (x^3 - x^2 + x - 1) dx,(1/4)x^4 - (1/3)x^3 + (1/2)x^2 - x + C,Integrate each term separately.
 (sec(x)tan(x) + csc(x)cot(x)) dx,sec(x) + csc(x) + C,Use trigonometric identities.
 (e^(2x) + 3cos(x)) dx,(1/2)e^(2x) + 3sin(x) + C,Integrate each term separately.
 (1 + tan(x)) dx,x + ln,sec(x)
 (x^4 + 2x^2 + 1) dx,(1/5)x^5 + (2/3)x^3 + x + C,Use the power rule for integration.
 (1/x + e^(-x)) dx,ln,x
 (sec(x) - tan(x)) dx,ln,sec(x) + tan(x)
 (3x^2 + 2x + 1) e^x dx,(3x^2 + 8x + 14)e^x + C,Use integration by parts.
 (x^3 + x^2 - x + 1) sin(x) dx,-x^3cos(x) - 2x^2cos(x) + 2xsin(x) + cos(x) + C,Use integration by parts.
 (x^2 + x + 1) cos(x) dx,(x^2 - 2x + 2)sin(x) + C,Use integration by parts.
 (2x + 1)/(x^2 + x) dx,ln,x^2 + x
 (tan(x)sec^2(x)) dx,sec(x) + C,Recall the derivatives of tangent and secant.
 (e^(2x) - e^x) dx,(1/2)e^(2x) - e^x + C,Integrate each term separately.
 (ln(x) + 1/x) dx,xln(x) - x + C,Integrate each term separately.
 (x^2 + 3x + 2)/(x + 1) dx,(1/2)x^2 + (5/2)x + 1 + ln,x + 1
 (x^2 - 4)/(x - 2) dx,(1/3)x^3 - 8ln,x - 2
 (sin^2(x) + cos^2(x)) dx,x + C,Remember the Pythagorean identity.
 (e^x + 1)/(e^x - 1) dx,ln,e^x - 1
 (sin(x)cos(x)) dx,(1/2)sin^2(x) + C,Use the double angle identity.
 (1/(x^2 + 4)) dx,(1/2)arctan(x/2) + C,Rewrite the integrand using trigonometric functions.
 (1 + e^x)/(1 - e^x) dx,x + ln,1 - e^x
 (2x^3 + x^2 - 3x + 1) e^x dx,(2x^3 - 4x^2 - 10x + 18)e^x + C,Use integration by parts.
 (cos(x) - sin(x)) dx,sin(x) + cos(x) + C,Remember the derivatives of sine and cosine.
 (e^x + e^(2x)) dx,e^x + (1/2)e^(2x) + C,Integrate each term separately.
 (1 + sin(x))^2 dx,x - cos(x) + (1/2)sin(2x) + C,Expand the square of the binomial.
 (x^3 + x^2 + x + 1)/(x^2 + x + 1) dx,x + 1 + ln,x^2 + x + 1
